n_estimators,test_acc,oob_acc
1,0.7810272794298353,0.8168021680216803
5,0.8260014745637749,0.8323353293413174
10,0.8373679036618333,0.8356551584898042
15,0.835586139100516,0.846046046046046
20,0.8395797493241582,0.85
25,0.8360776603588105,0.8542
30,0.8383509461784222,0.8552
35,0.8374293438191202,0.857
40,0.8387810272794298,0.8562
45,0.8389653477512903,0.8532
50,0.8392111083804374,0.8584
55,0.8401327107397395,0.8596
60,0.8420373556156304,0.8598
65,0.8423445564020644,0.8602
70,0.8430203981322192,0.8606
75,0.84185303514377,0.8608
80,0.8425903170312116,0.8606
85,0.8423445564020644,0.8612
90,0.84185303514377,0.8612
95,0.8417301548291963,0.8622
100,0.8414229540427623,0.861
105,0.8409928729417547,0.8624
110,0.8416072745146228,0.8626
115,0.8428360776603588,0.8632
120,0.8436347997050873,0.8634
125,0.8433275989186533,0.8632
130,0.8442492012779552,0.8636
135,0.8447407225362497,0.8628
140,0.8444949619071025,0.8646
145,0.844310641435242,0.864
150,0.8435733595478004,0.862
155,0.84338903907594,0.8624
160,0.8430203981322192,0.8614
165,0.8420373556156304,0.8616
170,0.8417915949864831,0.8618
175,0.8420373556156304,0.862
180,0.8422831162447776,0.8614
185,0.8417915949864831,0.8614
190,0.8417301548291963,0.862
195,0.8419144753010568,0.8628
200,0.8422216760874908,0.8622
