model,fold,accuracy,f1_macro,auc_roc
DecisionTree,1,0.798375,0.7077176506919042,0.8302542885144076
AdaBoost,1,0.63975,0.3338863015323393,0.8887722395707965
ProjectRandomForest,1,0.8165,0.668499436389414,0.973130781049029
SklearnRandomForest,1,0.866625,0.7871975330055754,0.9825509865685395
DecisionTree,2,0.80375,0.7173025384964298,0.8368225296127564
AdaBoost,2,0.6165,0.3242621263118723,0.8929951883120292
ProjectRandomForest,2,0.82275,0.6648888232244795,0.9749834141571031
SklearnRandomForest,2,0.863375,0.7600071949564524,0.9833432459810778
DecisionTree,3,0.79975,0.7277333004721006,0.8477295369114695
AdaBoost,3,0.624375,0.31725099785405436,0.8865051286563121
ProjectRandomForest,3,0.81625,0.6411168959844863,0.9732713394903401
SklearnRandomForest,3,0.865625,0.7662156529740745,0.9818269727341643
DecisionTree,4,0.7945,0.7169199697427306,0.8337037352505432
AdaBoost,4,0.621125,0.32381659725352335,0.8893926432981643
ProjectRandomForest,4,0.81875,0.67787338230346,0.9737517911839791
SklearnRandomForest,4,0.85675,0.7753730315668934,0.9823021758680276
DecisionTree,5,0.805375,0.7312021241713442,0.8382987865219284
AdaBoost,5,0.6235,0.31063824960269004,0.8904767775844024
ProjectRandomForest,5,0.815625,0.6466496881668508,0.9734490357671998
SklearnRandomForest,5,0.86425,0.7863456627801548,0.981904883252137
